audio_file,intensity,intensity_median,intensity_std,words_per_minute,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_std_0
1_10004_u.wav,0.05943136,0.05285527,0.043929514,120.0,-243.93507,70.85715,-37.16033,19.805502,-22.752916,-1.5743246,-2.106857,-1.6145627,-15.600895,-12.404236,-11.756525,-8.44344,-6.6857314,-7.496436,-9.996107,-9.833115,-12.500899,-2.9422824,-4.9842286,-8.218067,150.40671
1_10009_u.wav,0.048185833,0.04419021,0.024762481,132.0,-199.60484,106.24419,-67.8631,5.480549,-34.111588,-4.4296856,-13.371263,-7.952991,-12.117615,-3.8231323,-3.1538272,-7.2573457,-16.953398,-1.5147457,-10.767683,-9.903458,-11.323773,-3.1873336,-3.715659,-5.995009,64.31671
1_1001_u.wav,0.28814507,0.3203394,0.18224233,135.0,-77.95845,85.00533,-20.893145,31.380796,-13.386493,4.5098,-20.911411,-6.17155,-21.431261,-2.4525654,-3.8268623,-7.9564395,-9.660876,0.04913333,-1.8726497,4.7070065,-9.12657,-4.453743,-2.1675577,-10.116763,109.05715
1_1003_u.wav,0.25616345,0.25765777,0.15854076,165.0,-98.87288,110.46051,-17.9312,35.882313,-12.107592,2.541859,-20.9936,-9.903727,-20.665405,2.1002994,-2.2447817,-9.929179,-13.509884,2.4929118,3.3005908,5.388328,-3.5155292,-5.600429,-2.9792836,-6.7380667,81.712105
1_10190_u.wav,0.039447766,0.037175685,0.029028356,190.9090909090909,-298.76166,64.262024,-43.251045,22.255568,-17.129074,-3.6129026,-10.630607,-12.424005,-25.812574,-11.090304,-11.226252,-12.324488,-10.657623,-13.6573105,-6.6185856,-6.0531764,-16.411728,-2.7276378,-2.0561278,-11.105975,110.42542
1_10462_u.wav,0.03648029,0.033339277,0.021719037,160.0,-242.26735,95.15323,-32.50783,26.652288,-17.99529,1.8705256,-6.4310336,-13.282585,-19.411894,-0.682811,-1.2809726,-4.7124214,-10.655908,-8.457431,-10.920747,-11.187668,-10.797985,-4.3059936,-3.8185716,-5.121153,78.905106
1_10495_u.wav,0.037033428,0.021859054,0.03704953,154.28571428571428,-330.987,73.66613,-41.632988,6.7201457,-23.538395,-7.609265,-6.495636,-9.744632,-14.9924755,-4.857491,-8.727694,-8.249741,-15.039224,-6.5558233,-6.7447085,-9.324842,-9.983077,-5.2298794,-5.2549677,-6.208864,169.59286
1_10496_u.wav,0.05581291,0.056487456,0.03277616,162.85714285714286,-227.61588,83.22091,-60.65706,10.963264,-22.147243,-13.709515,-10.364642,-9.298295,-25.591984,-4.877239,-7.355148,-13.156146,-10.466945,-9.253725,-7.4329762,-4.447532,-15.586431,-2.5288131,-2.2396836,-5.2780375,107.49669
1_105_u.wav,0.36493614,0.37847957,0.11370154,210.0,2.0320814,81.86274,-46.068974,13.5470085,-20.409,-1.409023,-14.117761,-6.877526,-21.613092,-6.1468034,-8.523017,-5.0020347,-11.192371,0.009949552,-0.54493564,7.725494,-7.0227904,-0.47576317,-3.1234264,-6.7993174,49.8515
1_10748_u.wav,0.045363743,0.043095678,0.029436015,137.14285714285714,-224.43806,104.4247,-56.682537,15.395695,-24.373468,-0.8924328,-11.872916,-11.292299,-16.465143,-0.7988103,-6.164502,-3.069588,-12.258559,-2.2464612,-4.1194234,-10.492252,-10.971427,-4.828627,-2.9787774,-7.8036327,79.363625
